singular,plural
addendum,addenda
addendum,addendums
alumna,alumnae
alumnus,alumni
analysis,analyses
antenna,antennae
antenna,antennas
antithesis,antitheses
apex,apices
apex,apexes
appendix,appendices
appendix,appendixes
axis,axes
bacillus,bacilli
bacterium,bacteria
basis,bases
beau,beaux
beau,beaus
bison,bison
bureau,bureaux
bureau,bureaus
cactus,cacti
cactus,cactus
cactus,cactuses
château,châteaux
château,châteaus
child,children
codex,codices
concerto,concerti
concerto,concertos
corpus,corpora
crisis,crises
criterion,criteria
criterion,criterions
curriculum,curricula
curriculum,curriculums
datum,data
deer,deers
diagnosis,diagnoses
die,dice
die,dies
dwarf,dwarves
dwarf,dwarfs
ellipsis,ellipses
erratum,errata
faux pas,faux pas
fez,fezzes
fez,fezes
fish,fishes
focus,foci
focus,focuses
foot,feet
formula,formulae
formula,formulas
fungus,fungi
fungus,funguses
genus,genera
genus,genuses
goose,geese
graffito,graffiti
grouse,grouses
half,halves
hoof,hooves or hoofs
hypothesis,hypotheses
index,indices or indexes
larva,larvae
larva,larvas
libretto,libretti
libretto,librettos
loaf,loaves
locus,loci
louse,lice
man,men
matrix,matrices
matrix,matrixes
medium,media
medium,mediums
memorandum,memoranda
memorandum,memorandums
minutia,minutiae
moose,moose
mouse,mice
nebula,nebulae or nebulas
nucleus,nuclei or nucleuses
oasis,oases
offspring,offsprings
opus,opera
opus,opuses
ovum,ova
ox,oxen
parenthesis,parentheses
phenomenon,phenomena
phenomenon,phenomenons
phylum,phyla
quiz,quizzes
radius,radii
radius,radiuses
referendum,referenda
referendum,referendums
salmon,salmons
scarf,scarves
scarf,scarfs
self,selves
series,series
sheep,sheep
shrimp,shrimps
species,species
stimulus,stimuli
stratum,strata
swine,swine
syllabus,syllabi
syllabus,syllabuses
symposium,symposia
symposium,symposiums
synopsis,synopses
tableau,tableaux
tableau,tableaus
thesis,theses
thief,thieves
tooth,teeth
trout,trouts
tuna,tunas
vertebra,vertebrae
vertebra,vertebras
vertex,vertices
vertex,vertexes
vita,vitae
vortex,vortices
vortex,vortexes
wharf,wharves
wharf,wharfs
wife,wives
wolf,wolves
woman,women
